# Run Accuracy
4.697600000000000000e+04 9.687500000000000000e-01
4.710400000000000000e+04 9.453125000000000000e-01
4.723200000000000000e+04 8.906250000000000000e-01
4.736000000000000000e+04 9.453125000000000000e-01
4.748800000000000000e+04 8.984375000000000000e-01
4.761600000000000000e+04 9.375000000000000000e-01
4.774400000000000000e+04 9.687500000000000000e-01
4.787200000000000000e+04 9.218750000000000000e-01
4.800000000000000000e+04 9.531250000000000000e-01
4.812800000000000000e+04 8.984375000000000000e-01
4.825600000000000000e+04 9.609375000000000000e-01
4.838400000000000000e+04 9.531250000000000000e-01
4.851200000000000000e+04 9.140625000000000000e-01
4.864000000000000000e+04 9.296875000000000000e-01
4.876800000000000000e+04 9.218750000000000000e-01
4.889600000000000000e+04 9.453125000000000000e-01
4.902400000000000000e+04 9.062500000000000000e-01
4.915200000000000000e+04 9.453125000000000000e-01
4.928000000000000000e+04 9.375000000000000000e-01
4.940800000000000000e+04 9.140625000000000000e-01
4.953600000000000000e+04 9.296875000000000000e-01
4.966400000000000000e+04 9.140625000000000000e-01
4.979200000000000000e+04 9.062500000000000000e-01
4.992000000000000000e+04 9.062500000000000000e-01
5.004800000000000000e+04 9.609375000000000000e-01
5.017600000000000000e+04 9.453125000000000000e-01
5.030400000000000000e+04 8.906250000000000000e-01
5.043200000000000000e+04 9.062500000000000000e-01
5.056000000000000000e+04 9.453125000000000000e-01
5.068800000000000000e+04 8.984375000000000000e-01
5.081600000000000000e+04 9.609375000000000000e-01
5.094400000000000000e+04 9.218750000000000000e-01
5.107200000000000000e+04 9.375000000000000000e-01
5.120000000000000000e+04 9.687500000000000000e-01
5.132800000000000000e+04 9.140625000000000000e-01
5.145600000000000000e+04 9.296875000000000000e-01
5.158400000000000000e+04 9.687500000000000000e-01
5.171200000000000000e+04 8.984375000000000000e-01
5.184000000000000000e+04 9.218750000000000000e-01
5.196800000000000000e+04 9.218750000000000000e-01
5.209600000000000000e+04 8.906250000000000000e-01
5.222400000000000000e+04 9.453125000000000000e-01
5.235200000000000000e+04 9.531250000000000000e-01
5.248000000000000000e+04 9.140625000000000000e-01
5.260800000000000000e+04 9.140625000000000000e-01
5.273600000000000000e+04 8.828125000000000000e-01
5.286400000000000000e+04 9.531250000000000000e-01
5.299200000000000000e+04 9.453125000000000000e-01
